block_group,avg_cost_per_mbps,max_cost_per_mbps,number_of_addresses,holc_grade
60371836201,2.873611111111112,55.0,44,C
60371836202,3.3101851851851847,11.0,18,C
60371837011,9.909282700421945,55.0,79,C
60371837012,9.73076923076923,11.0,13,C
60371837013,6.885185185185185,11.0,9,C
60371837021,41.20537280701755,71.61458333333333,19,C
60371837022,32.79804687500001,71.61458333333333,32,C
60371838101,9.777777777777779,11.0,9,C
60371838102,6.362745098039216,11.0,17,C
60371838201,17.40497448979592,71.61458333333333,49,E
60371838202,13.129032258064516,55.0,31,C
60371852021,3.9637931034482756,55.0,29,C
60371852022,46.543749999999996,71.61458333333333,11,C
60371852023,0.6984126984126983,11.0,21,C
60371852031,64.6189692982456,71.61458333333333,19,D
60371852032,49.1125,71.61458333333333,11,C
60371852041,3.430208333333336,71.61458333333333,22,B
60371852042,30.386458333333334,71.61458333333333,22,C
60371853101,21.938642473118275,71.61458333333333,31,D
60371853102,0.1833333333333333,0.18333333333333332,26,D
60371853201,3.9015625000000007,11.0,32,D
60371853202,6.697395833333334,71.61458333333333,20,D
60371861001,69.24107142857144,71.61458333333333,14,B
60371861002,66.50240384615385,71.61458333333333,13,B
60371861003,43.47539414414413,71.61458333333333,37,B
60371861004,66.9994212962963,71.61458333333333,18,B
60371862011,2.5605555555555553,55.0,40,C
60371862021,1.9008771929824562,5.5,19,B
60371862022,15.599999999999996,55.0,11,C
60371862031,28.480324074074073,71.61458333333333,45,B
60371862032,1.416091954022989,2.2,29,C
60371863011,66.63020833333334,71.61458333333333,10,E
60371863013,71.61458333333333,71.61458333333333,1,C
60371863021,32.80277777777778,71.61458333333333,33,B
60371863022,40.69159722222222,71.61458333333333,30,B
60371863023,59.58695175438597,71.61458333333333,19,B
60371864012,71.61458333333333,71.61458333333333,2,E
60371864031,71.61458333333333,71.61458333333333,4,C
60371864032,53.756770833333334,71.61458333333333,4,C
60371864041,46.97280092592593,71.61458333333333,18,D
60371864042,0.5041666666666668,0.7333333333333333,12,C
60371871011,0.4354166666666668,1.1,40,C
60371871012,13.229166666666668,71.61458333333333,44,C
60371871021,0.18333333333333332,0.18333333333333332,29,C
60371871022,6.216053921568631,71.61458333333333,34,E
60371872001,10.513511904761904,71.61458333333333,35,D
60371872002,2.867744252873564,71.61458333333333,29,D
60371873001,12.682738095238099,71.61458333333333,49,B
60371873002,3.658534946236561,71.61458333333333,62,B
60371881001,7.9841666666666695,55.0,20,E
60371881002,0.6179012345679014,2.2,27,C
60371881003,1.1717391304347826,11.0,23,D
60371882011,15.633750000000003,71.61458333333333,25,B
60371882012,28.245937500000004,71.61458333333333,20,B
60371882013,6.45204678362573,55.0,19,B
60371882021,67.18402777777779,71.61458333333333,15,A
60371882022,52.292137096774184,71.61458333333333,31,A
60371882023,14.468055555555551,55.0,12,B
60371883001,0.28416666666666673,2.2,20,C
60371883002,2.869459219858158,71.61458333333333,47,C
60371883003,9.112239583333336,71.61458333333333,32,E
60371891011,2.9813492063492064,11.0,28,C
60371891012,5.561111111111112,11.0,30,C
60371891013,0.7884087791495198,3.0555555555555554,81,C
60371891021,3.707407407407408,11.0,18,A
60371891022,3.6317460317460317,11.0,21,C
60371891023,2.5850000000000004,11.0,10,C
60371892011,11.899919871794872,71.61458333333333,26,C
60371892012,4.732291666666667,5.5,16,C
60371892021,22.830729166666664,71.61458333333333,20,A
60371892022,2.16140350877193,11.0,19,B
60371892023,0.8996913580246915,5.5,36,B
60371893001,2.3459183673469384,11.0,49,A
60371893002,18.641944444444444,71.61458333333333,30,B
60371893003,4.232608695652174,11.0,23,A
60371894001,22.34456845238094,71.61458333333333,56,B
60371894002,2.288888888888889,5.5,22,B
60371894003,3.3197712418300633,55.0,34,B
60371896001,1.9408045977011503,11.0,29,B
60371896002,3.330555555555556,11.0,22,D
60371896003,1.6116279069767445,11.0,43,B
60371897021,11.95788784067086,71.61458333333333,53,E
60371899031,3.037581699346406,5.5,17,B
60371899041,1.7277777777777779,3.0555555555555554,11,B
60371899051,0.9472222222222223,1.1,6,B
60371899052,1.4,3.0555555555555554,11,B
60371902011,2.800925925925926,11.0,12,E
60371902012,4.075,11.0,88,E
60371902021,1.7263888888888892,11.0,32,B
60371902022,5.775,11.0,10,E
60371904011,13.409523809523808,55.0,14,C
60371904012,4.532539682539684,11.0,77,C
60371904021,10.541666666666666,11.0,12,C
60371905101,8.9375,11.0,16,C
60371905102,6.934365079365079,11.0,70,C
60371905201,6.416666666666667,11.0,12,C
60371905202,8.394736842105264,11.0,19,C
60371908011,1.6156249999999999,5.5,16,D
60371908012,3.055555555555556,3.0555555555555554,12,D
60371908021,7.21875,11.0,16,C
60371908022,4.208518518518519,11.0,15,D
60371908023,5.510185185185183,11.0,60,D
60371909011,4.454427083333333,71.61458333333333,56,D
60371909012,1.2694444444444448,3.0555555555555554,22,D
60371909013,4.555555555555556,11.0,11,C
60371909021,2.7703703703703706,5.5,21,C
60371909022,1.3410493827160497,5.5,18,D
60371909023,1.9152625152625153,11.0,91,D
60371910001,4.354166666666667,11.0,8,E
60371910002,3.544444444444445,5.5,10,C
60371910003,3.0555555555555562,3.0555555555555554,16,E
60371911101,10.113888888888889,55.0,20,C
60371911102,4.247222222222222,11.0,10,C
60371911201,6.448275862068965,11.0,29,C
60371911202,5.197222222222223,11.0,22,C
60371912011,5.472222222222222,11.0,22,C
60371912012,2.8091397849462374,5.5,31,C
60371912031,1.7111111111111112,3.0555555555555554,12,C
60371912032,2.7918128654970755,5.5,19,C
60371912041,2.007118055555556,5.5,32,C
60371913011,0.8602564102564101,1.1,13,D
60371913012,2.874666666666667,5.5,25,D
60371913021,2.8212962962962966,11.0,30,D
60371913022,7.7777777777777795,55.0,11,C
60371914101,4.9444444444444455,11.0,11,D
60371914102,6.420486111111111,71.61458333333333,30,D
60371914201,1.5827777777777783,5.5,20,D
60371914202,4.5702380952380945,11.0,14,D
60371915001,3.512757201646091,11.0,27,C
60371915002,1.8138888888888893,5.5,20,C
60371915003,5.556410256410258,11.0,13,C
60371916101,5.946376811594202,11.0,23,C
60371916102,7.689215686274508,11.0,34,C
60371916201,2.306280193236715,11.0,23,C
60371917101,1.655820105820106,11.0,21,E
60371917102,5.622222222222222,11.0,27,D
60371917201,8.715123456790124,55.0,18,D
60371917202,1.3156862745098041,11.0,17,D
60371918101,1.8180555555555558,3.0555555555555554,12,D
60371918102,3.2490740740740747,11.0,18,E
60371918103,4.657539682539682,11.0,14,E
60371918201,8.610555555555555,11.0,10,C
60371918202,0.9268518518518519,3.0555555555555554,12,D
60371918203,2.2130952380952382,5.5,14,C
60371919011,14.244517543859649,71.61458333333333,19,E
60371919012,13.095238095238095,55.0,21,E
60371919021,6.856410256410259,55.0,39,C
60371919022,8.277777777777777,55.0,33,C
60371920011,2.2141025641025642,11.0,13,C
60371920012,0.6487179487179486,11.0,52,C
60371920021,0.3404761904761905,1.1,35,C
60371920022,0.33000000000000007,1.1,40,C
60371920023,0.498666666666667,1.1,50,C
60371923001,2.10128205128205,11.0,26,C
60371923002,6.695147679324893,55.0,79,E
60371923003,4.852222222222222,11.0,20,C
60371924101,37.381994047619045,71.61458333333333,14,C
60371924102,0.6722222222222223,3.0555555555555554,10,C
60371924103,4.671014492753623,55.0,23,C
60371924104,1.5672043010752683,11.0,31,C
60371924201,25.86145833333333,71.61458333333333,10,D
60371924202,43.78780864197532,71.61458333333333,18,C
60371925101,24.709558823529413,71.61458333333333,17,C
60371925102,0.7253623188405799,2.2,23,C
60371925201,1.8516666666666661,11.0,20,C
60371925202,12.878362573099416,55.0,19,C
60371926101,7.7,11.0,15,C
60371926102,8.033333333333333,11.0,11,C
60371926103,12.584305555555556,71.61458333333333,15,C
60371926201,9.867647058823529,55.0,68,C
60371926202,14.582051282051282,55.0,13,C
